ARVORE;DAP;HT;hi;di_cc;e_casca
31;21,64507226;33,8;28;7,480282325;2
31;21,64507226;33,8;30;5,729577951;2
31;21,64507226;33,8;32;3,819718634;2
32;21,64507226;34,4;0,1;24,35070629;6
32;21,64507226;34,4;0,5;22,75915686;6
32;21,64507226;34,4;1;21,96338215;7
32;21,64507226;34,4;1,5;21,32676237;6
32;21,64507226;34,4;2;20,84929755;6
32;21,64507226;34,4;4;20,05352283;6
32;21,64507226;34,4;6;19,09859317;5
32;21,64507226;34,4;8;18,14366351;4
32;21,64507226;34,4;10;17,18873385;4
32;21,64507226;34,4;12;15,91549431;3
32;21,64507226;34,4;14;15,11971959;3
32;21,64507226;34,4;16;14,00563499;3
32;21,64507226;34,4;18;13,20986028;3
32;21,64507226;34,4;20;12,25493062;3
32;21,64507226;34,4;22;10,82253613;3
32;21,64507226;34,4;24;9,549296586;3
32;21,64507226;34,4;26;8,594366927;3
32;21,64507226;34,4;28;7,321127382;3
32;21,64507226;34,4;30;6,047887837;2
32;21,64507226;34,4;32;4,61549335;2
32;21,64507226;34,4;34;0,954929659;1
33;21,64507226;34,9;0,1;25,46479089;11
33;21,64507226;34,9;0,5;23,39577663;10
33;21,64507226;34,9;1;21,8042272;8
33;21,64507226;34,9;1,5;21,48591732;8
33;21,64507226;34,9;2;21,00845249;7
33;21,64507226;34,9;4;20,37183272;6
33;21,64507226;34,9;6;19,41690306;5
33;21,64507226;34,9;8;18,78028328;4
33;21,64507226;34,9;10;17,98450857;4
33;21,64507226;34,9;12;16,39295914;4
33;21,64507226;34,9;14;15,59718442;4
33;21,64507226;34,9;16;14,64225476;4
33;21,64507226;34,9;18;13,52817016;3
33;21,64507226;34,9;20;12,73239545;4
33;21,64507226;34,9;22;11,61831085;3
33;21,64507226;34,9;24;10,50422624;3
33;21,64507226;34,9;26;9,071831756;3
33;21,64507226;34,9;28;7,798592212;3
33;21,64507226;34,9;30;6,525352667;3
33;21,64507226;34,9;32;4,61549335;2
33;21,64507226;34,9;34;2,864788976;1
34;21,8042272;35,1;0,1;23,87324146;9
34;21,8042272;35,1;0,5;22,75915686;9
34;21,8042272;35,1;1;21,96338215;8
34;21,8042272;35,1;1,5;21,64507226;8
34;21,8042272;35,1;2;21,16760743;6
34;21,8042272;35,1;4;19,73521294;5
34;21,8042272;35,1;6;18,78028328;5
34;21,8042272;35,1;8;18,30281846;6
34;21,8042272;35,1;10;17,18873385;5
34;21,8042272;35,1;12;16,2338042;4
34;21,8042272;35,1;14;15,11971959;4
34;21,8042272;35,1;16;14,16478994;4
34;21,8042272;35,1;18;13,36901522;4
34;21,8042272;35,1;20;12,41408556;4
34;21,8042272;35,1;22;11,4591559;3
34;21,8042272;35,1;24;9,867606472;3
34;21,8042272;35,1;26;8,912676813;3
34;21,8042272;35,1;28;7,321127382;3
34;21,8042272;35,1;30;6,366197724;3
34;21,8042272;35,1;32;4,61549335;3
34;21,8042272;35,1;34;2,546479089;2
35;21,96338215;34,95;0,1;24,50986124;9
35;21,96338215;34,95;0,5;23,55493158;8
35;21,96338215;34,95;1;22,60000192;8
35;21,96338215;34,95;1,5;21,8042272;7
35;21,96338215;34,95;2;21,48591732;6
35;21,96338215;34,95;4;20,53098766;6
35;21,96338215;34,95;6;20,05352283;6
35;21,96338215;34,95;8;19,09859317;6
35;21,96338215;34,95;10;18,14366351;6
35;21,96338215;34,95;12;16,87042397;5
35;21,96338215;34,95;14;15,91549431;5
35;21,96338215;34,95;16;14,96056465;4
35;21,96338215;34,95;18;13,68732511;3
35;21,96338215;34,95;20;12,73239545;3
35;21,96338215;34,95;22;12,09577567;3
35;21,96338215;34,95;24;10,66338119;3
35;21,96338215;34,95;26;8,75352187;3
35;21,96338215;34,95;28;7,957747155;3
35;21,96338215;34,95;30;6,68450761;3
